time,year,month,avgt
1951-06-01,1951,6,65.95
1952-06-01,1952,6,68.08
1953-06-01,1953,6,68.5
1954-06-01,1954,6,67.63
1955-06-01,1955,6,67.02
1956-06-01,1956,6,67.3
1957-06-01,1957,6,71.02
1958-06-01,1958,6,62.05
1959-06-01,1959,6,67.62
1960-06-01,1960,6,67.08
1961-06-01,1961,6,66.97
1962-06-01,1962,6,68.05
1963-06-01,1963,6,67.32
1964-06-01,1964,6,66.48
1965-06-01,1965,6,66.88
1966-06-01,1966,6,67.37
1967-06-01,1967,6,69.83
1968-06-01,1968,6,66.65
1969-06-01,1969,6,66.02
1970-06-01,1970,6,65.87
1971-06-01,1971,6,66.32
1972-06-01,1972,6,63.53
1973-06-01,1973,6,68.65
1974-06-01,1974,6,64.98
1975-06-01,1975,6,65.08
1976-06-01,1976,6,69.37
1977-06-01,1977,6,64.55
1978-06-01,1978,6,64.32
1979-06-01,1979,6,65.93
1980-06-01,1980,6,63.33
