time,year,month,avgt
1951-08-01,1951,8,68.23
1952-08-01,1952,8,69.94
1953-08-01,1953,8,69.45
1954-08-01,1954,8,66.98
1955-08-01,1955,8,73.56
1956-08-01,1956,8,69.03
1957-08-01,1957,8,67.27
1958-08-01,1958,8,70.18
1959-08-01,1959,8,73.48
1960-08-01,1960,8,69.82
1961-08-01,1961,8,69.71
1962-08-01,1962,8,68.98
1963-08-01,1963,8,66.35
1964-08-01,1964,8,66.21
1965-08-01,1965,8,69.35
1966-08-01,1966,8,69.15
1967-08-01,1967,8,69.24
1968-08-01,1968,8,68.56
1969-08-01,1969,8,70.6
1970-08-01,1970,8,69.58
1971-08-01,1971,8,66.77
1972-08-01,1972,8,67.15
1973-08-01,1973,8,72.87
1974-08-01,1974,8,67.92
1975-08-01,1975,8,69.98
1976-08-01,1976,8,67.37
1977-08-01,1977,8,67.76
1978-08-01,1978,8,69.11
1979-08-01,1979,8,68.97
1980-08-01,1980,8,70.68
